LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
-20.6205700000,-60.0588000000,328.2200000000,1.8900000000,1.3400000000,2022/11/17,"0508",A,"100",6.1NRT,293.7900000000,68.0300000000,N
-23.1409800000,-60.9907800000,320.0500000000,1.9500000000,1.3600000000,2022/11/17,"0508",A,"100",6.1NRT,293.6000000000,48.4100000000,N
-23.5915500000,-59.9421600000,316.5300000000,1.6200000000,1.2500000000,2022/11/17,"0508",A,"93",6.1NRT,291.4900000000,31.6200000000,N
-23.5910300000,-59.9476700000,315.2900000000,1.6200000000,1.2500000000,2022/11/17,"0508",A,"91",6.1NRT,291.5900000000,29.7100000000,N
-27.7393800000,-56.1023600000,350.5400000000,1.0000000000,1.0000000000,2022/11/17,"0508",A,"100",6.1NRT,293.4700000000,64.9000000000,N
-27.7409000000,-56.0922500000,373.7900000000,1.0000000000,1.0000000000,2022/11/17,"0508",A,"100",6.1NRT,297.9100000000,130.9400000000,N
-28.2565200000,-58.6394800000,321.6400000000,1.1500000000,1.0700000000,2022/11/17,"0510",A,"100",6.1NRT,289.9700000000,26.1900000000,N
-1.9501400000,-52.0813900000,318.3200000000,1.1200000000,1.0600000000,2022/11/17,"0459",A,"97",6.1NRT,282.4200000000,19.8900000000,N
-2.3848500000,-51.2736900000,336.6100000000,1.0400000000,1.0200000000,2022/11/17,"0501",A,"100",6.1NRT,287.5800000000,39.4600000000,N
-2.3928700000,-51.2720900000,321.0100000000,1.0400000000,1.0200000000,2022/11/17,"0501",A,"100",6.1NRT,288.1700000000,18.7000000000,N
-3.3187600000,-50.6938400000,324.0300000000,1.0000000000,1.0000000000,2022/11/17,"0501",A,"100",6.1NRT,287.0600000000,22.3100000000,N
-4.5189200000,-43.2237100000,317.5900000000,2.6300000000,1.5600000000,2022/11/17,"0501",A,"95",6.1NRT,292.5000000000,60.1500000000,N
-4.1705300000,-48.7835300000,331.8400000000,1.0800000000,1.0400000000,2022/11/17,"0501",A,"100",6.1NRT,274.2800000000,38.4800000000,N
-11.4870800000,-54.0212900000,324.7300000000,1.1000000000,1.0500000000,2022/11/17,"0503",A,"100",6.1NRT,290.9900000000,25.1900000000,N
-11.4886400000,-54.0112800000,321.4700000000,1.1000000000,1.0500000000,2022/11/17,"0503",A,"100",6.1NRT,292.8000000000,20.9500000000,N
-14.6740300000,-56.6304000000,315.5200000000,1.4000000000,1.1700000000,2022/11/17,"0503",A,"91",6.1NRT,296.2100000000,19.3800000000,N
55.1919300000,-125.9725300000,321.0200000000,1.5600000000,1.2300000000,2022/11/17,"0518",T,"100",6.1NRT,267.3700000000,48.5000000000,N
-18.7377500000,125.2871300000,353.2200000000,1.2500000000,1.1100000000,2022/11/17,"0544",A,"95",6.1NRT,312.7400000000,64.5200000000,D
-18.7278200000,125.2853400000,402.6500000000,1.2500000000,1.1100000000,2022/11/17,"0544",A,"100",6.1NRT,317.1100000000,339.9600000000,D
-18.7296900000,125.2736100000,357.0200000000,1.2500000000,1.1100000000,2022/11/17,"0544",A,"97",6.1NRT,314.5600000000,75.8400000000,D
-18.7079100000,125.2819400000,349.1500000000,1.2500000000,1.1100000000,2022/11/17,"0544",A,"91",6.1NRT,314.1100000000,47.5100000000,D
-17.5312200000,123.0655200000,355.6900000000,1.0400000000,1.0200000000,2022/11/17,"0544",A,"97",6.1NRT,305.2800000000,63.0400000000,D
